departure_date_local,timestamp_utc_start,timestamp_utc_end,carrier,flight_number,tail_number,origin_airport,destination_airport,attributed_contrail_km,eef_climatology_terajoules,analyzed_flight_length_km
2024-09-18,1726644571,1726646429,D0,366,GDHLR,EMA,JFK,407.5028727,59.6919943,1337.10829
2024-09-14,1726272635,1726272876,D0,1,GDHLV,NGO,CVG,67.64541576,30.74059299,2913.151053
2024-09-10,1726020316,1726020702,D0,384,GDHLW,LEJ,CVG,96.18325861,57.98407185,1914.199064
2024-09-11,1726061009,1726061189,D0,2,GDHMA,CVG,NGO,44.3720767,2.691230709,3955.913137
2024-09-20,1726831225,1726831344,D0,844,GDHLP,CVG,BRU,31.11256685,3.092944602,2635.452078
2024-09-20,1726831997,1726832796,D0,367,GDHLS,JFK,EMA,206.8013369,24.40971916,1667.183999
2024-09-20,null,null,D0,366,GDHLS,EMA,JFK,null,null,1377.506289
2024-09-06,1725634399,1725634889,D0,367,GDHLS,JFK,EMA,124.1110294,15.34908102,1384.92175
2024-09-08,1725805897,1725807024,D0,641,GDHLX,NGO,CVG,303.6919461,39.68003411,3042.384583
2024-09-08,1725805521,1725805701,D0,641,GDHLX,NGO,CVG,47.86047911,5.85820287,3042.384583
2024-09-08,null,null,D0,701,GDHLW,CVG,BAH,null,null,2259.620441
2024-09-07,null,null,D0,643,GDHLV,CVG,EMA,null,null,1525.372829
2024-09-10,1726025678,1726026085,D0,372,GDHLM,EMA,CVG,97.73690363,56.03980599,1928.260569
2024-09-11,1726062440,1726063109,D0,53,GDHLU,LAX,EMA,176.2205921,15.4846662,3345.482682
2024-09-11,1726063521,1726064015,D0,53,GDHLU,LAX,EMA,129.7485676,10.17997503,3345.482682
2024-09-11,1726064015,1726064319,D0,53,GDHLU,LAX,EMA,80.93233152,6.247228585,3345.482682
2024-09-11,null,null,D0,701,GDHLW,CVG,BAH,null,null,2363.374339
2024-09-19,1726729944,1726730133,D0,366,GDHLO,EMA,JFK,40.5319433,5.566872877,1357.138848
2024-09-15,1726407505,1726407625,D0,361,GDHLL,JFK,EMA,25.56232889,2.698203098,1590.960948
2024-09-15,1726408890,1726408951,D0,641,GDHLX,NGO,CVG,16.34930444,1.217586664,2899.894208
2024-09-15,1726433786,1726434318,D0,312,GDHMA,LEJ,CVG,124.037862,58.03790606,1792.651634
2024-09-15,1726432961,1726433416,D0,312,GDHMA,LEJ,CVG,103.9256222,50.12306557,1792.651634
2024-09-15,1726431806,1726432660,D0,312,GDHMA,LEJ,CVG,169.5551623,81.69024714,1792.651634
2024-09-19,null,null,D0,709,GDHLY,CVG,BAH,null,null,2769.414955
2024-09-19,1726711696,1726712611,D0,1,GDHLY,NGO,CVG,238.4300667,144.3884038,2922.676235
2024-09-22,1726995460,1726995584,D0,370,GDHLO,EMA,CVG,29.34955759,1.126481312,2078.989832
2024-09-22,1726995098,1726995280,D0,370,GDHLO,EMA,CVG,42.41350742,1.485409296,2078.989832
2024-09-22,1726994321,1726994787,D0,370,GDHLO,EMA,CVG,110.1889704,3.170089023,2078.989832
2024-09-22,1727009983,1727010331,D0,641,GDHLU,NGO,CVG,98.31026711,3.596369326,3158.705662
