departure_date_local,timestamp_utc_start,timestamp_utc_end,carrier,flight_number,tail_number,origin_airport,destination_airport,attributed_contrail_km,eef_climatology_terajoules,analyzed_flight_length_km
2024-08-10,1723291337,1723291630,D0,4,GDHLV,CVG,NGO,71.17461724,3.931109518,2463.895474
2024-08-10,1723294122,1723295959,D0,4,GDHLV,CVG,NGO,499.7373128,18.44744751,2463.895474
2024-08-06,1722951156,1722951641,D0,4,GDHMA,CVG,NGO,100.4811022,5.599014824,2480.380405
2024-08-11,null,null,D0,392,GDHLX,EMA,CVG,null,null,1755.244878
2024-08-11,null,null,D0,361,GDHLL,JFK,EMA,null,null,1393.419138
2024-08-11,null,null,D0,312,GDHLM,LEJ,CVG,null,null,1851.522579
2024-08-16,null,null,D0,817,GDHLU,LEJ,CVG,null,null,2022.271108
2024-08-06,null,null,D0,709,GDHLV,CVG,BAH,null,null,2130.459903
2024-08-05,null,null,D0,521,GDHMA,HKG,CVG,null,null,3676.968931
2024-08-04,null,null,D0,392,GDHMB,EMA,CVG,null,null,1702.175854
2024-08-04,null,null,D0,819,GDHLK,LEJ,CVG,null,null,1612.999189
2024-08-04,null,null,D0,940,GDHLP,BRU,CVG,null,null,1768.670847
2024-08-04,null,null,D0,968,GDHLX,HKG,LAX,null,null,1315.773599
2024-08-04,null,null,D0,312,GDHLU,EMA,CVG,null,null,1726.445076
2024-08-04,null,null,D0,362,GDHLL,LEJ,JFK,null,null,1120.621358
2024-08-01,1722570930,1722571118,D0,2,GDHLE,EMA,CVG,43.19519654,23.63959194,1764.293623
2024-08-02,null,null,D0,701,GDHLV,CVG,BAH,null,null,2116.670415
2024-08-02,null,null,D0,364,GDHLL,LEJ,JFK,null,null,1304.84025
2024-08-13,null,null,D0,916,GDHMA,LAX,CVG,null,null,2322.711815
2024-08-14,null,null,D0,366,GDHLE,EMA,JFK,null,null,1368.657464
2024-08-18,null,null,D0,968,GDHLV,CVG,EMA,null,null,2313.83967
2024-08-15,1723712846,1723713086,D0,364,GDHLO,LEJ,JFK,57.74922745,3.599941129,1512.59929
2024-08-07,null,null,D0,372,GDHLP,LEJ,CVG,null,null,838.248726
2024-08-08,null,null,D0,366,GDHLS,EMA,JFK,null,null,1339.071601
2024-08-09,1723184854,1723185021,D0,366,GDHLL,EMA,JFK,35.4136158,6.614541997,1158.398415
2024-08-09,1723186280,1723186702,D0,366,GDHLL,EMA,JFK,89.69389295,15.7266779,1158.398415
2024-08-09,1723186877,1723187131,D0,366,GDHLL,EMA,JFK,53.54109839,9.049057517,1158.398415
2024-08-08,1723174579,1723175144,D0,2,GDHLP,EMA,CVG,116.6136736,64.45496604,1656.541655
2024-08-09,null,null,D0,375,GDHLO,CVG,BRU,null,null,2308.377112
2024-08-04,1722765565,1722765868,D0,363,GDHLE,JFK,BRU,83.75031929,5.749034956,1471.988903
2024-08-03,1722734708,1722734883,D0,364,GDHLE,MXP,JFK,39.88254819,22.3665823,2036.502893
2024-08-04,null,null,D0,701,GDHMB,CVG,BAH,null,null,2136.803653
2024-08-13,null,null,D0,521,GDHLP,CVG,LEJ,null,null,2317.279995
2024-08-13,null,null,D0,375,GDHLE,CVG,BRU,null,null,2092.752405
2024-08-13,null,null,D0,1,GDHLU,NGO,CVG,null,null,3241.834943
2024-08-13,null,null,D0,1,GDHLU,CVG,EMA,null,null,2252.164396
2024-08-05,1722914543,1722914857,D0,4,GDHLE,EMA,CVG,68.14525309,39.7475743,1641.75073
2024-08-02,1722607942,1722608242,D0,2,GDHLY,CVG,NGO,71.28488892,4.773556108,3745.513381
2024-08-01,1722524023,1722524434,D0,375,GDHLK,CVG,BRU,110.7123864,12.89749077,1963.555055
2024-08-01,null,null,D0,1,GDHLY,NGO,CVG,null,null,2892.48116
2024-08-18,null,null,D0,968,GDHLV,HKG,LAX,null,null,1891.230517
2024-08-18,1724012923,1724013089,D0,940,GDHLS,BRU,CVG,37.20954411,14.1035813,1897.534672
2024-08-18,1724009492,1724009923,D0,940,GDHLS,BRU,CVG,44.99666117,18.06641881,1897.534672
2024-08-18,1724010496,1724010796,D0,940,GDHLS,BRU,CVG,63.42795689,24.98847441,1897.534672
2024-08-18,1724012321,1724012682,D0,940,GDHLS,BRU,CVG,80.40659541,30.75108884,1897.534672
2024-08-05,1722908126,1722908427,D0,384,GDHLL,LEJ,CVG,68.64097668,41.13127156,1790.68266
2024-08-05,1722907907,1722908063,D0,384,GDHLL,LEJ,CVG,35.29241472,21.3180407,1790.68266
2024-08-05,1722908983,1722909401,D0,384,GDHLL,LEJ,CVG,97.30176424,58.65842148,1790.68266
2024-08-06,null,null,D0,375,GDHLL,CVG,BRU,null,null,2288.323494
2024-08-06,null,null,D0,1,GDHLE,CVG,EMA,null,null,2145.020248
2024-08-06,null,null,D0,521,GDHLS,CVG,LEJ,null,null,2143.447466
2024-08-10,1723306429,1723306653,D0,364,GDHLO,MXP,JFK,32.41867221,4.389131069,1846.178172
2024-08-10,null,null,D0,709,GDHMA,CVG,BAH,null,null,2474.320548
2024-08-03,null,null,D0,4,GDHLX,CVG,NGO,null,null,3360.275533
2024-08-13,1723601430,1723603050,D0,2,GDHLU,EMA,CVG,353.1592439,223.7209076,1845.523682
2024-08-20,null,null,D0,366,GDHLS,EMA,JFK,null,null,1329.660718
2024-08-14,1723684706,1723685002,D0,372,GDHLS,EMA,CVG,79.98973165,48.24561237,2114.727638
2024-08-15,1723691123,1723691243,D0,1,GDHLX,NGO,CVG,31.39888717,18.57024617,2794.825124
2024-08-15,1723691784,1723691904,D0,1,GDHLX,NGO,CVG,31.51250846,18.29253247,2794.825124
2024-08-14,1723684038,1723684278,D0,384,GDHMC,LEJ,CVG,61.39510335,37.04701187,1915.394664
2024-08-15,1723726947,1723727264,D0,1,GDHLX,CVG,EMA,81.81941209,11.02175166,2812.666266
2024-08-15,1723708757,1723708997,D0,366,GDHLE,EMA,JFK,56.57724692,7.351412339,1477.386707
2024-08-15,null,null,D0,367,GDHLE,JFK,EMA,null,null,1829.308223
2024-08-15,null,null,D0,375,GDHLS,CVG,BRU,null,null,2644.876326
2024-08-03,null,null,D0,384,GDHLV,LEJ,CVG,null,null,1691.442876
2024-08-02,1722605978,1722606040,D0,375,GDHLJ,CVG,BRU,16.34300125,2.006980263,2132.788997
2024-08-02,1722599721,1722599782,D0,367,GDHLK,JFK,EMA,15.3891381,1.751957064,1384.948254
2024-08-11,null,null,D0,385,GDHLW,CVG,EMA,null,null,2271.420209
2024-08-11,null,null,D0,940,GDHLS,BRU,CVG,null,null,1767.772203
2024-08-11,null,null,D0,362,GDHLL,LEJ,JFK,null,null,1345.300268
2024-08-06,null,null,D0,2,GDHLE,EMA,CVG,null,null,1869.343244
2024-08-09,null,null,D0,4,GDHLE,EMA,CVG,null,null,2239.600842
2024-08-16,null,null,D0,366,GDHLO,EMA,JFK,null,null,1394.192974
2024-08-18,1723973974,1723975405,D0,370,GDHLM,EMA,CVG,318.3676011,9.639194089,1885.567908
2024-08-18,1723965521,1723965878,D0,362,GDHLL,LEJ,JFK,77.03042243,12.02113183,1329.65713
2024-08-18,1723962868,1723963473,D0,362,GDHLL,LEJ,JFK,138.4971595,24.99531248,1329.65713
2024-08-01,1722568575,1722568647,D0,372,GDHLJ,LEJ,CVG,16.63653384,9.562962701,1793.397818
2024-08-01,null,null,D0,384,GDHLX,LEJ,CVG,null,null,1735.73882
2024-08-20,null,null,D0,4,GDHLV,CVG,NGO,null,null,2384.939729
2024-08-19,null,null,D0,4,GDHLV,EMA,CVG,null,null,1864.692579
2024-08-03,1722671246,1722671314,D0,4,GDHLR,EMA,CVG,14.69023356,2.193050834,1797.342087
2024-08-17,1723941928,1723942228,D0,384,GDHMA,LEJ,CVG,70.78999079,45.21614126,1683.562672
2024-08-17,1723944630,1723944690,D0,384,GDHMA,LEJ,CVG,14.24714993,8.68158705,1683.562672
2024-08-20,null,null,D0,367,GDHLS,JFK,EMA,null,null,1173.203131
2024-08-04,1722777094,1722777277,D0,361,GDHLL,JFK,EMA,50.97697837,6.503765751,1479.534665
2024-08-04,1722778234,1722779366,D0,361,GDHLL,JFK,EMA,312.5203568,36.55050136,1479.534665
2024-08-04,null,null,D0,370,GDHLS,EMA,CVG,null,null,1714.210443
2024-08-01,1722520950,1722521382,D0,1,GDHLE,CVG,EMA,113.1582903,12.97501739,1936.239868
2024-08-01,null,null,D0,366,GDHLL,EMA,JFK,null,null,1494.674234
2024-08-12,null,null,D0,375,GDHLS,CVG,BRU,null,null,2264.439386
2024-08-07,null,null,D0,367,GDHLL,JFK,EMA,null,null,1516.127969
2024-08-12,null,null,D0,4,GDHLP,EMA,CVG,null,null,1732.312796
2024-08-12,null,null,D0,521,GDHLV,HKG,CVG,null,null,3286.783418
2024-08-01,null,null,D0,367,GDHLL,JFK,EMA,null,null,1390.282992
2024-08-05,null,null,D0,2,GDHLY,LEJ,CVG,null,null,1698.753974
2024-08-02,1722583290,1722583536,D0,366,GDHLK,EMA,JFK,56.06611202,5.441344537,1283.204271
2024-08-01,null,null,D0,916,GDHLV,LAX,CVG,null,null,2800.390066
2024-08-13,null,null,D0,709,GDHLV,CVG,BAH,null,null,2231.19871
2024-08-06,null,null,D0,523,GDHMB,HKG,CVG,null,null,3465.171556
2024-08-07,null,null,D0,366,GDHLL,EMA,JFK,null,null,1253.657479
2024-08-18,1724011717,1724012248,D0,312,GDHLP,LEJ,CVG,26.72915569,13.32603055,2015.853446
2024-08-18,1724012309,1724012797,D0,312,GDHLP,LEJ,CVG,105.9420823,52.53672071,2015.853446
2024-08-18,1723976481,1723977257,D0,392,GDHLX,EMA,CVG,185.2907599,6.395720956,1870.713624
2024-08-18,1723975402,1723976046,D0,392,GDHLX,EMA,CVG,148.759698,2.914258921,1870.713624
2024-08-04,null,null,D0,820,GDHLK,CVG,EMA,null,null,2183.301073
2024-08-07,1723086275,1723086509,D0,4,GDHLE,EMA,CVG,52.44650588,31.55816656,1775.281265
2024-08-07,1723085010,1723086089,D0,4,GDHLE,EMA,CVG,237.9156475,147.4701756,1775.281265
2024-08-08,null,null,D0,4,GDHLV,CVG,NGO,null,null,2477.408376
2024-08-07,1723078029,1723079354,D0,384,GDHLV,LEJ,CVG,313.2667439,206.6154224,1891.537551
2024-08-08,1723119078,1723119441,D0,709,GDHMA,CVG,BAH,102.1261311,11.6183077,2359.106992
2024-08-08,null,null,D0,1,GDHMA,NGO,CVG,null,null,3674.828493
2024-08-08,null,null,D0,1,GDHLP,CVG,EMA,null,null,2331.66711
2024-08-08,null,null,D0,367,GDHLS,JFK,EMA,null,null,1491.053642
2024-08-08,null,null,D0,375,GDHLE,CVG,BRU,null,null,2388.795081
2024-08-16,1723811429,1723811917,D0,367,GDHLO,JFK,EMA,109.3498473,10.22092753,1480.528271
2024-08-15,1723776567,1723776744,D0,372,GDHLE,EMA,CVG,42.21705801,23.73157877,2266.850553
2024-08-15,null,null,D0,384,GDHMA,LEJ,CVG,null,null,2217.420394
2024-08-15,null,null,D0,818,GDHLU,CVG,EMA,null,null,399.1538165
2024-08-13,null,null,D0,523,GDHLY,HKG,CVG,null,null,2932.461142
2024-08-14,null,null,D0,523,GDHLY,CVG,LEJ,null,null,2634.267427
2024-08-07,1723038994,1723039114,D0,375,GDHLO,CVG,BRU,35.29848241,4.52820493,2333.045035
2024-08-07,1723040018,1723040139,D0,375,GDHLO,CVG,BRU,35.49303283,4.320849233,2333.045035
2024-08-07,1723039296,1723039838,D0,375,GDHLO,CVG,BRU,158.7927221,19.79919815,2333.045035
2024-08-08,1723165657,1723166437,D0,384,GDHLW,LEJ,CVG,165.6148831,100.0380952,1559.461528
2024-08-08,1723161871,1723161983,D0,384,GDHLW,LEJ,CVG,14.08432796,9.528644947,1559.461528
2024-08-29,null,null,D0,384,GDHLL,LEJ,CVG,null,null,2140.233768
2024-08-14,1723642102,1723642401,D0,2,GDHMB,CVG,NGO,77.51323923,4.176134359,2412.954761
2024-08-14,1723638990,1723639050,D0,916,GDHLR,CVG,BRU,13.94364041,1.655751944,2478.769669
2024-08-20,1724204733,1724206533,D0,372,GDHLP,EMA,CVG,483.1449768,314.3317631,1735.169082
2024-08-21,null,null,D0,523,GDHLU,CVG,LEJ,null,null,2135.960842
2024-08-21,null,null,D0,701,GDHMC,CVG,BAH,null,null,2021.570022
2024-08-21,null,null,D0,375,GDHLP,CVG,BRU,null,null,2126.785684
2024-08-20,null,null,D0,384,GDHLY,LEJ,CVG,null,null,1789.635724
2024-08-21,null,null,D0,366,GDHLE,EMA,JFK,null,null,1451.899939
2024-08-21,null,null,D0,3,GDHLY,CVG,EMA,null,null,1936.713092
2024-08-21,null,null,D0,3,GDHLU,NGO,CVG,null,null,3841.725456
2024-08-20,null,null,D0,2,GDHMB,EMA,CVG,null,null,1763.748723
2024-08-16,1723809468,1723809568,D0,2,GDHLX,CVG,NGO,25.95878892,1.696055877,3314.92277
2024-08-16,1723810597,1723811021,D0,2,GDHLX,CVG,NGO,105.7209606,5.468514004,3314.92277
2024-08-16,1723814475,1723814717,D0,375,GDHLE,CVG,BRU,59.09504472,7.847059493,2102.935829
2024-08-15,1723777651,1723778741,D0,2,GDHLX,EMA,CVG,295.0753181,159.1539412,2157.163738
2024-08-15,1723784187,1723784358,D0,2,GDHLX,EMA,CVG,42.56331075,20.90606952,2157.163738
2024-08-16,null,null,D0,701,GDHMA,CVG,BAH,null,null,2130.922891
2024-08-14,null,null,D0,367,GDHLE,JFK,EMA,null,null,1515.197531
2024-08-16,null,null,D0,384,GDHLS,LEJ,CVG,null,null,1209.428373
2024-08-20,1724160138,1724160317,D0,1,GDHMB,CVG,EMA,51.31340439,5.774019464,2085.631837
2024-08-13,1723603582,1723604851,D0,384,GDHMB,LEJ,CVG,347.6537248,213.8152119,2010.759236
2024-08-13,1723608030,1723608558,D0,384,GDHMB,LEJ,CVG,130.7058574,70.91446837,2010.759236
2024-08-03,null,null,D0,1,GDHLR,CVG,EMA,null,null,2215.205893
2024-08-19,1724069118,1724069302,D0,317,GDHLP,CVG,LEJ,48.22648687,5.123727726,2135.464691
2024-08-19,1724065701,1724066078,D0,317,GDHLP,CVG,LEJ,92.81555745,7.178610982,2135.464691
2024-08-28,null,null,D0,3,GDHMA,CVG,EMA,null,null,2021.215504
2024-08-09,1723192098,1723192475,D0,364,GDHLR,LEJ,JFK,82.22643842,4.767444047,1320.062618
2024-08-09,1723194692,1723194993,D0,364,GDHLR,LEJ,JFK,70.26474349,4.283989145,1320.062618
2024-08-13,null,null,D0,4,GDHLX,CVG,NGO,null,null,2269.816224
2024-08-17,null,null,D0,709,GDHLU,CVG,BAH,null,null,2540.254799
2024-08-12,null,null,D0,317,GDHLM,CVG,LEJ,null,null,2097.392865
2024-08-11,null,null,D0,968,GDHMB,LAX,EMA,null,null,714.1459373
2024-08-06,1722934238,1722934539,D0,366,GDHLJ,EMA,JFK,64.42536934,3.676383226,1174.272289
2024-08-06,1722934781,1722934906,D0,366,GDHLJ,EMA,JFK,27.02664153,1.602298765,1174.272289
2024-08-06,null,null,D0,367,GDHLJ,JFK,EMA,null,null,1433.71887
2024-08-13,1723596472,1723597706,D0,372,GDHLR,EMA,CVG,203.7715132,139.3214706,1912.613262
2024-08-13,1723598193,1723598313,D0,372,GDHLR,EMA,CVG,31.36570787,21.00290442,1912.613262
2024-08-14,null,null,D0,3,GDHLW,NGO,CVG,null,null,2782.008665
2024-08-14,null,null,D0,701,GDHMA,CVG,BAH,null,null,2520.738848
2024-08-12,null,null,D0,384,GDHLX,LEJ,CVG,null,null,1770.976076
2024-08-19,null,null,D0,384,GDHLX,LEJ,CVG,null,null,1829.925498
2024-08-29,1724909973,1724911055,D0,1,GDHMC,NGO,CVG,309.272494,198.0315683,3364.149376
2024-08-07,null,null,D0,3,GDHLE,CVG,EMA,null,null,2641.859361
2024-08-06,null,null,D0,372,GDHLO,LEJ,CVG,null,null,889.3153214
2024-08-06,null,null,D0,916,GDHLY,LAX,EMA,null,null,5037.024025
2024-08-17,1723901918,1723902031,D0,1,GDHLS,CVG,EMA,28.04989645,3.124246824,1970.752162
2024-08-21,null,null,D0,372,GDHLJ,EMA,CVG,null,null,1804.483869
2024-08-22,null,null,D0,375,GDHLJ,CVG,BRU,null,null,2352.788017
2024-08-21,null,null,D0,4,GDHLY,EMA,CVG,null,null,1923.869145
2024-08-26,1724677102,1724677353,D0,317,GDHLJ,CVG,LEJ,59.8148658,7.106795608,2321.707658
2024-08-26,1724676376,1724676495,D0,317,GDHLJ,CVG,LEJ,28.46426919,3.470655334,2321.707658
2024-08-26,1724679272,1724679754,D0,317,GDHLJ,CVG,LEJ,118.4920034,12.59919467,2321.707658
2024-08-25,1724623293,1724623358,D0,312,GDHLJ,LEJ,CVG,15.94081192,7.755634276,1861.310523
2024-08-22,1724382499,1724382679,D0,2,GDHLX,EMA,CVG,46.50510874,27.17933786,1873.813087
2024-08-22,null,null,D0,384,GDHMC,LEJ,CVG,null,null,1418.315975
2024-08-23,null,null,D0,384,GDHLE,LEJ,CVG,null,null,1337.415571
2024-08-23,1724473241,1724473353,D0,4,GDHLV,EMA,CVG,27.98320344,14.72172934,1859.907096
2024-08-24,null,null,D0,4,GDHLV,CVG,NGO,null,null,2817.286985
2024-08-22,null,null,D0,1,GDHLV,NGO,CVG,null,null,2659.784629
2024-08-02,null,null,D0,384,GDHMA,LEJ,CVG,null,null,1566.53989
2024-08-03,null,null,D0,709,GDHMA,CVG,BAH,null,null,2304.697307
2024-08-26,null,null,D0,2,GDHLX,LEJ,CVG,null,null,1913.983045
2024-08-25,1724632456,1724632580,D0,968,GDHMB,CVG,EMA,31.94725241,19.10834071,1218.196086
2024-08-25,null,null,D0,362,GDHLP,LEJ,JFK,null,null,1407.447682
2024-08-25,null,null,D0,968,GDHMB,HKG,LAX,null,null,1471.845436
2024-08-25,null,null,D0,361,GDHLP,JFK,EMA,null,null,1795.424505
2024-08-25,null,null,D0,968,GDHMB,LAX,CVG,null,null,2614.098059
2024-08-24,null,null,D0,384,GDHMC,LEJ,CVG,null,null,1886.535024
2024-08-25,null,null,D0,370,GDHLS,EMA,CVG,null,null,2112.794571
2024-08-25,null,null,D0,701,GDHMC,CVG,BAH,null,null,2841.119312
2024-08-27,null,null,D0,523,GDHMB,HKG,CVG,null,null,3430.392014
2024-08-13,null,null,D0,366,GDHLS,EMA,JFK,null,null,1254.814389
2024-08-13,null,null,D0,367,GDHLS,JFK,EMA,null,null,1428.658427
2024-08-21,null,null,D0,367,GDHLE,JFK,EMA,null,null,1368.066469
2024-08-30,null,null,D0,366,GDHLS,EMA,JFK,null,null,1484.932531
2024-08-09,1723219649,1723219883,D0,361,GDHLL,JFK,LEJ,66.72112172,8.635888587,1779.62629
2024-08-09,null,null,D0,866,GDHLP,CVG,EMA,null,null,2458.733763
2024-08-07,1723037061,1723037246,D0,523,GDHMB,CVG,LEJ,50.99272998,6.265509672,1979.789954
2024-08-22,null,null,D0,709,GDHLV,CVG,BAH,null,null,2141.837002
2024-08-18,1723983210,1723985491,D0,361,GDHLL,JFK,EMA,589.2245346,71.97645415,1526.692883
2024-08-18,1723987059,1723987215,D0,361,GDHLL,JFK,EMA,38.7965997,4.379904542,1526.692883
2024-08-18,1723985667,1723986203,D0,361,GDHLL,JFK,EMA,138.8112605,16.73913544,1526.692883
2024-08-02,null,null,D0,361,GDHLL,JFK,LEJ,null,null,1488.276328
2024-08-14,1723637122,1723637182,D0,3,GDHLU,CVG,EMA,14.83234842,1.586743976,2464.660004
2024-08-10,null,null,D0,1,GDHLE,CVG,EMA,null,null,2522.893868
2024-08-10,null,null,D0,1,GDHLV,NGO,CVG,null,null,3132.467908
2024-08-09,null,null,D0,384,GDHMA,LEJ,CVG,null,null,1632.388717
2024-08-19,null,null,D0,375,GDHLS,CVG,BRU,null,null,2188.576159
2024-08-28,null,null,D0,523,GDHLX,CVG,LEJ,null,null,2038.592598
2024-08-28,null,null,D0,375,GDHLO,CVG,BRU,null,null,2815.451147
2024-08-28,null,null,D0,366,GDHLP,EMA,JFK,null,null,1541.744562
2024-08-16,null,null,D0,4,GDHMB,EMA,CVG,null,null,2315.271743
2024-08-17,null,null,D0,4,GDHMB,CVG,NGO,null,null,2920.807864
2024-08-29,null,null,D0,2,GDHLX,EMA,CVG,null,null,2088.975968
2024-08-30,null,null,D0,367,GDHLS,JFK,EMA,null,null,2011.937973
2024-08-30,1725071005,1725071501,D0,4,GDHLY,EMA,CVG,94.22293039,54.94120722,2349.087579
2024-08-31,1725070525,1725070645,D0,1,GDHMA,NGO,CVG,34.17294082,20.95985802,2999.096374
2024-08-31,null,null,D0,709,GDHMA,CVG,BAH,null,null,1516.282297
