tail_number,engine_uid
EP-MNK,2GE038
EP-MNL,2GE038
EP-MNQ,2GE038
EP-MNR,2GE038
EP-MNI,2GE038
EP-MDJ,2GE038
EP-MNG,2GE038
EP-MNH,2GE038
N719FD,1PW048
N651FE,2GE039
N668FE,2GE039
N675FE,2GE039
N683FE,2GE039
N120UP,1PW048
N121UP,1PW048
N122UP,1PW048
N124UP,1PW048
N125UP,1PW048
N126UP,1PW048
N127UP,1PW048
N128UP,1PW048
N129UP,1PW048
N130UP,1PW048
N131UP,1PW048
N133UP,1PW048
N134UP,1PW048
N135UP,1PW048
N136UP,1PW048
N137UP,1PW048
N138UP,1PW048
N139UP,1PW048
N140UP,1PW048
N141UP,1PW048
N142UP,1PW048
N143UP,1PW048
N144UP,1PW048
N145UP,1PW048
N146UP,1PW048
N147UP,1PW048
N148UP,1PW048
N149UP,1PW048
N150UP,1PW048
N151UP,1PW048
N152UP,1PW048
N153UP,1PW048
N154UP,1PW048
N156UP,1PW048
N157UP,1PW048
N158UP,1PW048
N159UP,1PW048
N160UP,1PW048
N161UP,1PW048
N162UP,1PW048
N163UP,1PW048
N164UP,1PW048
N165UP,1PW048
N166UP,1PW048
N167UP,1PW048
N168UP,1PW048
N169UP,1PW048
N170UP,1PW048
N171UP,1PW048
N172UP,1PW048
N173UP,1PW048
N174UP,1PW048
D-AZMO,1PW048
N650FE,2GE039
N652FE,2GE039
N653FE,2GE039
N654FE,2GE039
N655FE,2GE039
N656FE,2GE039
N657FE,2GE039
N658FE,2GE039
N659FE,2GE039
N660FE,2GE039
N661FE,2GE039
N662FE,2GE039
N663FE,2GE039
N664FE,2GE039
N665FE,2GE039
N667FE,2GE039
N669FE,2GE039
N670FE,2GE039
N671FE,2GE039
N672FE,2GE039
N673FE,2GE039
N674FE,2GE039
N676FE,2GE039
N677FE,2GE039
N678FE,2GE039
N679FE,2GE039
N680FE,2GE039
N681FE,2GE039
N682FE,2GE039
N684FE,2GE039
N685FE,2GE039
N686FE,2GE039
N687FE,3GE056
N688FE,3GE056
N689FE,3GE056
N690FE,3GE056
N691FE,3GE056
N692FE,3GE056
TC-MNV,2GE039
EP-FQL,2GE039
ST-ATB,1PW048
TS-IPA,2GE039
TS-IPB,2GE039
EP-IBA,2GE039
EP-IBB,2GE039
EP-IBC,2GE039
EP-IBD,2GE039
EP-FQK,2GE039
EP-FQM,2GE039
EP-FQN,2GE039
EP-FQO,2GE039
EP-MDM,2GE039
EP-MDN,2GE039
EP-MDU,2GE039
EP-SIF,1PW048
EP-SIG,1PW048
EP-MMO,1PW048
SU-GAY,1PW048
N723FD,1PW048
N726FD,1PW048
N740FD,1PW048
N750FD,1PW048
TC-MCG,1PW048
5A-ONS,1PW048
T7-ASK,1PW048
D-AZMN,1PW048
D-AZMM,1PW048
D-AZMQ,1PW048
D-AZMP,1PW048
D-AEAA,1PW048
4L-UCK,2GE039
N721FD,1PW048
N722FD,1PW048
N724FD,1PW048
N725FD,1PW048
N727FD,1PW048
N728FD,1PW048
